T: Protein IDs	FF_W2_1	FF_W2_2	FF_W2_3	FF_W2_5	FF_W2_6	FF_W2_7	FF_W2_8	FFPE_W2_1	FFPE_W2_2	FFPE_W2_3	FFPE_W2_5	FFPE_W2_6	FFPE_W2_7	FFPE_W2_8	FFPE_E878	FFPE__872	FFPE__875	FFPE__876	FFPE__877	FFPE__879	GS50	GS51	GS52	GS53	GS54
Q9CX34	1.2572	1.37609	1.18884	1.40508	1.5061	1.11622	1.03926	-0.732217	-0.158653	-0.770286	-0.574623	-0.179668	-0.384179	-0.575473	-5.64494	-4.94574	-0.126382	-0.334531	-0.72307	-0.591815	1.48665	1.71159	1.23213	1.3447	0.523493
Q9CX56	0.461179	1.30816	1.05284	1.22359	0.746541	0.879249	1.23506	NaN	NaN	-2.16218	-1.89466	NaN	NaN	-2.19369	NaN	NaN	-1.64404	NaN	-3.31824	-3.25348	1.6088	1.73182	1.41374	1.7023	1.10302
Q9CX80	-0.337028	-1.18232	NaN	NaN	NaN	0.388802	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.0933473	NaN	-0.739786	NaN	0.469528	1.22554	NaN	NaN	0.0845988	0.184019	NaN
Q9CX86	-0.0390246	0.713711	0.145715	0.25399	0.45207	-0.0214503	0.203295	0.0952127	0.611656	0.807752	0.600515	1.16155	-0.0164664	1.05036	-0.989569	-1.07807	-1.51627	-1.05468	-1.3913	-1.91152	0.751186	1.10183	0.419582	0.833133	-0.443529
Q9CXF4	NaN	NaN	NaN	NaN	-0.386091	NaN	-0.0284512	NaN	NaN	-0.298364	NaN	0.397725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
Q9CXI5	1.45464	2.13195	1.46676	1.38975	1.71039	0.977284	1.87675	-1.33984	NaN	-1.36542	-1.61458	-1.48133	NaN	-0.999137	-1.12032	-2.24074	NaN	-2.01059	-2.03824	-2.09952	1.12838	1.75672	1.89448	1.36975	0.894701
Q9CXP8	-0.809192	0.416505	-0.256131	NaN	-0.7156	NaN	-0.167531	NaN	NaN	-1.29451	NaN	-1.43193	-1.65686	-1.63045	0.500727	2.05025	2.79045	2.06257	0.0563762	NaN	0.81074	1.19329	0.291384	-0.309823	-0.867505
Q9CXS4	-0.688556	0.222052	-0.548747	-0.102489	-0.729608	-0.735889	-0.128785	0.47594	0.706481	-0.15818	0.0693595	0.932067	-0.00462079	0.268201	NaN	NaN	NaN	NaN	NaN	NaN	1.15144	0.853293	-0.26209	0.373479	-0.387092
Q9CXT8	NaN	-0.366199	-0.290744	NaN	-0.213718	0.297232	-0.20581	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.642703	0.895226	-0.447664	NaN	-0.311027
Q9CXW3	-0.167983	1.19548	0.671944	0.794747	0.683144	0.33697	0.785376	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.92959	-1.67382	-2.14838	-2.42913	NaN	-2.97525	1.70291	1.89996	1.17714	1.57661	1.31928
Q9CXW4	-0.213834	0.770097	0.676372	0.819207	0.608855	0.0444098	0.568671	-0.739238	-0.123927	0.181382	0.227498	0.499106	-1.02576	0.530759	-0.334435	-0.151393	0.00970936	-0.0193872	-0.646907	-1.07591	0.701549	0.645947	-0.512261	-0.230855	-0.772641
Q9CXY6	-0.509074	-0.207389	-1.04463	-0.536584	-0.967383	-0.672225	-0.449286	-0.111573	0.549417	0.201183	0.0825951	0.540385	0.227111	0.459743	0.629722	0.468364	-0.118201	0.541162	0.00390935	-1.23562	1.27524	1.34278	0.651677	0.961583	0.0786793
Q9CXZ1	-1.54636	-0.423936	-1.8874	-0.830428	0.452676	-0.564607	-0.177629	0.105668	-0.270404	0.00381361	-0.591512	-0.521463	0.962842	-0.796067	NaN	NaN	NaN	NaN	NaN	NaN	1.25921	1.04603	1.99799	1.61991	1.40144
Q9CY27	0.409148	0.00469828	-0.205732	0.26388	0.160071	0.374201	0.0990167	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.196212	-0.387622	-0.250085	0.146042	-0.417406
Q9CY50	-0.92436	0.525998	-0.294063	0.132635	-1.14398	-0.910106	0.101986	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.39591	-0.941593	-1.23169	-0.939487	NaN	NaN	1.47383	1.81683	1.87102	1.10959	0.749287
Q9CY57	0.626854	0.993906	0.756042	0.696004	1.00836	0.125967	1.09326	0.551515	0.603859	0.423334	0.368232	1.11447	0.338932	0.746734	-1.88174	-2.07843	-3.21742	-2.19786	-2.7376	-2.71406	1.40361	1.41851	1.62064	1.00964	0.227451
